!SIL 1.0	sil
<UNK> 1.0	spn
वन्या 1.0	w a n y aa
पश्तून 1.0	p a sh t uu n
छिपने 1.0	ch i p n ee
लटकाकर 1.0	l a tx k aa k a r
शेफ्टी 1.0	sh ee ph tx ii
सुपरबस 1.0	s u p a r b a s
दिलवाता 1.0	d i l w aa t aa
सांख्यिकीय 1.0	s aa q kh y i k ii y
भाषा 1.0	bh aa sx aa
हुवावेई 1.0	h u w aa w ee ii
अक्रु 1.0	a k r u
सांईयां 1.0	s aa q ii y aa q
सामोआ 1.0	s aa m oo aa
पासपोर्ट 1.0	p aa s p oo r tx
शंखनाद 1.0	sh a q kh a n aa d
लेडिज 1.0	l ee dx i j
गौवंशीय 1.0	g ou w a q sh ii y
रंजक 1.0	r a q j a k
एमेरल्ड 1.0	ee m ee r a l dx
महावीरियां 1.0	m a h aa w ii r i y aa q
टेंपरेचर 1.0	tx ee q p a r ee c a r
केपी 1.0	k ee p ii
भांजे 1.0	bh aa q j ee
दरिमा 1.0	d a r i m aa
टेमोफास 1.0	tx ee m oo ph aa s
जीवछ 1.0	j ii w a ch
खलती 1.0	kh a l t ii
समाजोन्मुखी 1.0	s a m aa j oo n m u kh ii
भयावहता 1.0	bh a y aa w a h t aa
इक्यासी 1.0	i k y aa s ii
बबूला 1.0	b a b uu l aa
नेहरटू 1.0	n ee h a r tx uu
एकएक 1.0	ee k a ee k
नवाज़ 1.0	n a w aa z
लेबलिंग 1.0	l ee b l i q g
अपान 1.0	a p aa n
सीपीएल 1.0	s ii p ii ee l
धोखेबाज 1.0	dh oo kh ee b aa j
तीर्थयात्री 1.0	t ii r th a y aa t r ii
देंक्षेनिया 1.0	d ee q k sx ee n i y aa
कीर्ती 1.0	k ii r t ii
अपीन 1.0	a p ii n
ऐसेशार्क 1.0	ei s ee sh aa r k
हंसवर 1.0	h a q s a w a r
हड़पने 1.0	h a dxq a p n ee
ऐंटीबायोटिक 1.0	ei q tx ii b aa y oo tx i k
झड़ने 1.0	jh a dxq n ee
अनिश्चितकाल 1.0	a n i sh c i t k aa l
छेदक 1.0	ch ee d a k
तत्पर 1.0	t a t p a r
मिल्वॉकी 1.0	m i l w ax k ii
प्रवासीः 1.0	p r w aa s ii hq
माधव 1.0	m aa dh a w
सफलता 1.0	s a ph a l t aa
गिनाए 1.0	g i n aa ee
छूटते 1.0	ch uu tx t ee
गंदी 1.0	g a q d ii
स्माइली 1.0	s m aa i l ii
गिरप्तार 1.0	g i r a p t aa r
डंगोली 1.0	dx a q g oo l ii
केपा 1.0	k ee p aa
डीएमएफ 1.0	dx ii ee m a ee ph
माननखेड़ा 1.0	m aa n a n kh ee dxq aa
मृ्त्यु 1.0	m rq t y u
मारिस 1.0	m aa r i s
इंशा 1.0	i q sh aa
कॉस्ट 1.0	k ax s tx
भद्द 1.0	bh a d d
नौकाओं 1.0	n ou k aa oo q
गुज़रना 1.0	g u z a r n aa
कसीद 1.0	k a s ii d
क्लॉक 1.0	k l ax k
सब्सक्राइबर 1.0	s a b s a k r aa i b a r
उन्नीसवें 1.0	u n n ii s w ee q
साहिब 1.0	s aa h i b
राजगीर 1.0	r aa j g ii r
नेलसन 1.0	n ee l s a n
लाउंज 1.0	l aa u q j
वहा 1.0	w a h aa
बेबो 1.0	b ee b oo
शीना 1.0	sh ii n aa
विष्वकर्मा 1.0	w i sx w a k a r m aa
सेक्स 1.0	s ee k s
जमुईझाझा 1.0	j a m u ii jh aa jh aa
डा़ 1.0	dx aa nk
निर्ममतासे 1.0	n i r m a m a t aa s ee
मीणामीना 1.0	m ii nx aa m ii n aa
जीवविज्ञानी 1.0	j ii w w i j nj aa n ii
धातुएं 1.0	dh aa t u ee q
अण्डर 1.0	a nx dx a r
मनीषा 1.0	m a n ii sx aa
ध्वजा 1.0	dh w j aa
मारकंडा 1.0	m aa r k a q dx aa
जैदी 1.0	j ei d ii
चैनलों 1.0	c ei n l oo q
लाडले 1.0	l aa dx l ee
गोपाइचक 1.0	g oo p aa i c a k
बुलन्दशह 1.0	b u l a n d a sh a h
मुफ्त 1.0	m u ph t
जिम्मेदारना 1.0	j i m m ee d aa r n aa
कालनेमी 1.0	k aa l n ee m ii
कार्टियर 1.0	k aa r tx i y a r
कौर 1.0	k ou r
व्यवस्थापककोंने 1.0	w y w a s th aa p k a k oo q n ee
विकलांगता 1.0	w i k l aa q g a t aa
विश्वस्तरीय 1.0	w i sh w a s t a r ii y
मुलुक 1.0	m u l u k
आदेश 1.0	aa d ee sh
ख़ारिज 1.0	khq aa r i j
फिरदौसी 1.0	ph i r d ou s ii
लेक्चरर 1.0	l ee k c a r a r
अाडवाणी 1.0	a aa dx w aa nx ii
अचार 1.0	a c aa r
आदत 1.0	aa d a t
इंडस 1.0	i q dx a s
समसामयिक 1.0	s a m s aa m y i k
कुतिर्यों 1.0	k u t i r y oo q
प्रधानमन्त्री 1.0	p r dh aa n m a n t r ii
संभावना 1.0	s a q bh aa w n aa
कोज 1.0	k oo j
नहीं 1.0	n a h ii q
सिल्वीकल्चर 1.0	s i l w ii k a l c a r
घिसा 1.0	gh i s aa
अधूरी 1.0	a dh uu r ii
उपमंडल 1.0	u p a m a q dx a l
विपक्षीगण 1.0	w i p a k sx ii g a nx
फिसेको 1.0	ph i s ee k oo
सूर्यकुमारी 1.0	s uu r y a k u m aa r ii
डोक्यावर 1.0	dx oo k y aa w a r
जन्माष्टी 1.0	j a n m aa sx tx ii
भारतभूषण 1.0	bh aa r t a bh uu sx a nx
ब्लैंक 1.0	b l ei q k
केशव 1.0	k ee sh a w
हिरण्याकश्यप 1.0	h i r a nx y aa k a sh y a p
वीकडे 1.0	w ii k dx ee
एकदम 1.0	ee k d a m
श्रीसिद्धिविनायक 1.0	sh r ii s i d dh i w i n aa y a k
धर्मपरिवर्तनके 1.0	dh a r m a p a r i w a r t a n a k ee
मालवेयर 1.0	m aa l w ee y a r
नवीद 1.0	n a w ii d
महाकाव्य 1.0	m a h aa k aa w y
नवग्रहों 1.0	n a w a g r a h oo q
एकध्रुवों 1.0	ee k a dh r u w oo q
मंडावी 1.0	m a q dx aa w ii
आाईए 1.0	aa aa ii ee
ऐश्वर्या 1.0	ei sh w a r y aa
अमाउंट 1.0	a m aa u q tx
बरगढ़ 1.0	b a r g a dxhq
लेखांकन 1.0	l ee kh aa q k a n
कुर्क 1.0	k u r k
देसी 1.0	d ee s ii
उठाना 1.0	u txh aa n aa
अग्निदेव 1.0	a g n i d ee w
रायविंड 1.0	r aa y w i q dx
अवध 1.0	a w a dh
विरांची 1.0	w i r aa q c ii
रामानुजन् 1.0	r aa m aa n u j a n
आरबीआइ 1.0	aa r b ii aa i
कृष्णसिंह 1.0	k rq sx nx a s i q h
महामण्डलेश्वर 1.0	m a h aa m a nx dx a l ee sh w a r
भेेज 1.0	bh ee ee j
पुनर्जीवित 1.0	p u n a r j ii w i t
ऍप्लीकेशन 1.0	ae p l ii k ee sh a n
आईबी 1.0	aa ii b ii
स 1.0	s a
गांठें 1.0	g aa q txh ee q
शत्रुतापूर्ण 1.0	sh a t r u t aa p uu r nx
अहोई 1.0	a h oo ii
बायोमीट्रिक 1.0	b aa y oo m ii tx r i k
जुड़ेंगे 1.0	j u dxq ee q g ee
बर्णवाल 1.0	b a r nx a w aa l
स्वनों 1.0	s w n oo q
जीटीओ 1.0	j ii tx ii oo
बेकहम 1.0	b ee k h a m
अपौरुषेय 1.0	a p ou r u sx ee y
सर्वोच्च 1.0	s a r w oo c c
लचीलेपन 1.0	l a c ii l ee p a n
ताबिश 1.0	t aa b i sh
ख़ंजरे 1.0	khq a q j a r ee
दूसरे 1.0	d uu s r ee
केरलवासियों 1.0	k ee r l a w aa s i y oo q
परागकणों 1.0	p a r aa g k a nx oo q
देवपिपरिया 1.0	d ee w p i p r i y aa
परिवारवाद 1.0	p a r i w aa r w aa d
इन्कार 1.0	i n k aa r
नोरवे 1.0	n oo r w ee
बहकर 1.0	b a h k a r
असिद्ध 1.0	a s i d dh
एकनोलेजमेंट 1.0	ee k n oo l ee j m ee q tx
अल्हाज़ेन 1.0	a l h aa z ee n
बिस्वास 1.0	b i s w aa s
वैक्टर 1.0	w ei k tx a r
इस्राईल 1.0	i s r aa ii l
सतबरिया 1.0	s a t b a r i y aa
लत 1.0	l a t
हिजाज 1.0	h i j aa j
सफदरजंग 1.0	s a ph d a r j a q g
लांबागढ़ 1.0	l aa q b aa g a dxhq
बेल्लारी 1.0	b ee l l aa r ii
गरीब 1.0	g a r ii b
किटी 1.0	k i tx ii
मिर्ज़ा 1.0	m i r z aa
मिडफील्ड 1.0	m i dx ph ii l dx
ता 1.0	t aa
अज्ञात 1.0	a j nj aa t
मृदुला 1.0	m rq d u l aa
सचिवों 1.0	s a c i w oo q
मणिराम 1.0	m a nx i r aa m
घूमर 1.0	gh uu m a r
डाराने 1.0	dx aa r aa n ee
द्विवेदीभारत 1.0	d w i w ee d ii bh aa r a t
विंस्टन 1.0	w i q s tx a n
धरोहर 1.0	dh a r oo h a r
ओलंपिक 1.0	oo l a q p i k
सऊदी 1.0	s a uu d ii
कील 1.0	k ii l
वेंकट 1.0	w ee q k a tx
सालवन 1.0	s aa l w a n
हरम 1.0	h a r a m
सख्त 1.0	s a kh t
मंत्रिमंडल 1.0	m a q t r i m a q dx a l
अपर 1.0	a p a r
दुर्दशा 1.0	d u r d a sh aa
अप्पल 1.0	a p p a l
निक्षेप 1.0	n i k sx ee p
तदाशय 1.0	t a d aa sh a y
रेंटल 1.0	r ee q tx a l
धान्य 1.0	dh aa n y
इनबॉक्स 1.0	i n b ax k s
अंडरराईटिंग 1.0	a q dx a r r aa ii tx i q g
कर्मवीर 1.0	k a r m a w ii r
रेडलाइट 1.0	r ee dx l aa i tx
प्रेमिका 1.0	p r ee m i k aa
भूमिकाएं 1.0	bh uu m i k aa ee q
लखपति 1.0	l a kh a p t i
खटीक 1.0	kh a tx ii k
समाने 1.0	s a m aa n ee
चैपल 1.0	c ei p a l
विंग्स 1.0	w i q g s
मजलिस 1.0	m a j l i s
सिद्धरमैया 1.0	s i d dh a r a m ei y aa
टैररिज्म 1.0	tx ei r r i j m
राजपरिवार 1.0	r aa j p a r i w aa r
खिड़कियां 1.0	kh i dxq k i y aa q
भौरा 1.0	bh ou r aa
बीसीसीआई 1.0	b ii s ii s ii aa ii
रामसेवक 1.0	r aa m s ee w a k
तरंगे 1.0	t a r a q g ee
काउंटीसमतुल्य 1.0	k aa u q tx ii s a m t u l y
चापलूसी 1.0	c aa p l uu s ii
सिमुलेशन 1.0	s i m u l ee sh a n
बांसुरी 1.0	b aa q s u r ii
कॉन्ग 1.0	k ax n g
एटकिंसन 1.0	ee tx k i q s a n
नाना 1.0	n aa n aa
इयरबड्स 1.0	i y a r b a dx s
मराकथामनी 1.0	m a r aa k th aa m n ii
ब्रिसबेन 1.0	b r i s b ee n
लोकेशन 1.0	l oo k ee sh a n
लड़ेंगे 1.0	l a dxq ee q g ee
वस्त्रहीन 1.0	w a s t r a h ii n
एलेक्ज़ेंड्रिया 1.0	ee l ee k z ee q dx r i y aa
वट्सऐप 1.0	w a tx s a ei p
आयान 1.0	aa y aa n
प्रकाशक 1.0	p r k aa sh a k
बृजलाल 1.0	b rq j l aa l
पनारसा 1.0	p a n aa r s aa
अवरटेक 1.0	a w a r tx ee k
स्ट्राइक 1.0	s tx r aa i k
एक्सॉन 1.0	ee k s ax n
पेंसिल 1.0	p ee q s i l
भारतेन्दु 1.0	bh aa r t ee n d u
रथों 1.0	r a th oo q
रिफ्रेश 1.0	r i ph r ee sh
जुरासिक 1.0	j u r aa s i k
लुभाएंगे 1.0	l u bh aa ee q g ee
कट्टरवादी 1.0	k a tx tx r a w aa d ii
रैबीज 1.0	r ei b ii j
व् 1.0	w a
शेरिफ 1.0	sh ee r i ph
सोख 1.0	s oo kh
कैपेड्स 1.0	k ei p ee dx s
सुलझ 1.0	s u l a jh
चीज़केक 1.0	c ii z k ee k
शब्दसूचियाँ 1.0	sh a b d a s uu c i y aa mq
नख़लिस्तान 1.0	n a khq l i s t aa n
कोलोराडो 1.0	k oo l oo r aa dx oo
गजल 1.0	g a j a l
वेदनाथ 1.0	w ee d n aa th
सत्यवती 1.0	s a t y a w a t ii
युक्तियां 1.0	y u k t i y aa q
मृतकों 1.0	m rq t k oo q
गुरुदत्त 1.0	g u r u d a t t
पहुंचाए 1.0	p a h u q c aa ee
पातलीदून 1.0	p aa t l ii d uu n
व्यंजन 1.0	w y a q j a n
डाकघर 1.0	dx aa k gh a r
अतंर्राष्ट्रीय 1.0	a t a q r r aa sx tx r ii y
एचडीपीई 1.0	ee c dx ii p ii ii
एथिल 1.0	ee th i l
सूचनात्मक 1.0	s uu c n aa t m a k
विशाणु 1.0	w i sh aa nx u
होममेड 1.0	h oo m m ee dx
लंगूरस 1.0	l a q g uu r a s
सेलेज़नेवा 1.0	s ee l ee z n ee w aa
मिशीगन 1.0	m i sh ii g a n
ऐहोल 1.0	ei h oo l
धूल 1.0	dh uu l
प्रदानकर 1.0	p r d aa n k a r
फिलेंडर 1.0	ph i l ee q dx a r
सीएन 1.0	s ii ee n
तैंतीस 1.0	t ei q t ii s
लडेंगे 1.0	l a dx ee q g ee
क्राय 1.0	k r aa y
भाड़े 1.0	bh aa dxq ee
कॉरपोरेट 1.0	k ax r p oo r ee tx
लिपिकों 1.0	l i p i k oo q
नॉनकनेक्टेड 1.0	n ax n k a n ee k tx ee dx
दरवाज़ों 1.0	d a r w aa z oo q
बेहाल 1.0	b ee h aa l
नेरियामंगलम 1.0	n ee r i y aa m a q g a l a m
बीएसई 1.0	b ii ee s a ii
जातिके 1.0	j aa t i k ee
वॉल्यूम 1.0	w ax l y uu m
हसरते 1.0	h a s a r t ee
शीतलता 1.0	sh ii t a l t aa
रघुराज 1.0	r a gh u r aa j
अवॉर्डी 1.0	a w ax r dx ii
समारोहमें 1.0	s a m aa r oo h m ee q
फिलीपीन्स 1.0	ph i l ii p ii n s
कलंकित 1.0	k a l a q k i t
पारेषण 1.0	p aa r ee sx a nx
जपते 1.0	j a p t ee
सिंड्राम 1.0	s i q dx r aa m
प्रोत्साहन 1.0	p r oo t s aa h a n
ननशान 1.0	n a n sh aa n
सैंडल 1.0	s ei q dx a l
सेल्यूलर 1.0	s ee l y uu l a r
प्लेसी 1.0	p l ee s ii
कुंजीपटल 1.0	k u q j ii p tx a l
गिरिजा 1.0	g i r i j aa
हैम्पटन 1.0	h ei m p a tx a n
हो 1.0	h oo
मण्डित 1.0	m a nx dx i t
कामधेनु 1.0	k aa m dh ee n u
खेतमजूरी 1.0	kh ee t a m j uu r ii
जन 1.0	j a n
सुनी 1.0	s u n ii
फीरोजाबाद 1.0	ph ii r oo j aa b aa d
चुस्त 1.0	c u s t
मारती 1.0	m aa r t ii
टूल 1.0	tx uu l
देवसूची 1.0	d ee w s uu c ii
कांगस 1.0	k aa q g a s
स्वामियों 1.0	s w aa m i y oo q
मुलाजिम 1.0	m u l aa j i m
नक्ष 1.0	n a k sx
बैठाना 1.0	b ei txh aa n aa
बिस्मथ 1.0	b i s m a th
निस्तेज 1.0	n i s t ee j
सुभा 1.0	s u bh aa
फरसगांव 1.0	ph a r a s g aa q w
परिपूर्णता 1.0	p a r i p uu r nx a t aa
कैटी 1.0	k ei tx ii
रासूमांदर 1.0	r aa s uu m aa q d a r
असलहा 1.0	a s l a h aa
आयुक्तालय 1.0	aa y u k t aa l a y
क्राफ्ट्समैन 1.0	k r aa ph tx s a m ei n
अठारवें 1.0	a txh aa r w ee q
उतारते 1.0	u t aa r t ee
अतितनाव 1.0	a t i t n aa w
गर्त 1.0	g a r t
सर्पिलों 1.0	s a r p i l oo q
सुमे 1.0	s u m ee
रूठी 1.0	r uu txh ii
काटना 1.0	k aa tx n aa
कविताँ 1.0	k a w i t aa mq
मदों 1.0	m a d oo q
डेस्कः 1.0	dx ee s k a hq
नॉरमैंडी 1.0	n ax r m ei q dx ii
जताया 1.0	j a t aa y aa
एयरवेज 1.0	ee y r a w ee j
मसनवियाँ 1.0	m a s n a w i y aa mq
इटली 1.0	i tx l ii
पालमपुर 1.0	p aa l a m p u r
प्रोग्रामिंग 1.0	p r oo g r aa m i q g
संसाधन 1.0	s a q s aa dh a n
बेलनाकार 1.0	b ee l n aa k aa r
डीएचएफएल 1.0	dx ii ee c a ee ph a ee l
पिंपरी 1.0	p i q p a r ii
आरएफक्यू 1.0	aa r a ee ph a k y uu
रेस्टोरेन्ट्स 1.0	r ee s tx oo r ee n tx s
मय 1.0	m a y
पंगुगृह 1.0	p a q g u g rq h
तेहरानी 1.0	t ee h r aa n ii
रोगक्रांत 1.0	r oo g a k r aa q t
अषांति 1.0	a sx aa q t i
हत्थे 1.0	h a t th ee
हलफनामा 1.0	h a l a ph n aa m aa
निश्चिंत 1.0	n i sh c i q t
मकानों 1.0	m a k aa n oo q
कॉम्पैक्ट 1.0	k ax m p ei k tx
कॉर्प 1.0	k ax r p
आधारभित्ती 1.0	aa dh aa r bh i t t ii
कहनेवाला 1.0	k a h n ee w aa l aa
हेपतुल्ला 1.0	h ee p t u l l aa
कोचीन 1.0	k oo c ii n
रॉकेट 1.0	r ax k ee tx
सोंधी 1.0	s oo q dh ii
चौसा 1.0	c ou s aa
मंजुले 1.0	m a q j u l ee
सोहना 1.0	s oo h n aa
सियोल 1.0	s i y oo l
लैंगिक 1.0	l ei q g i k
दृश्यकोण 1.0	d rq sh y a k oo nx
पुरातत्व 1.0	p u r aa t a t w
नंदराम 1.0	n a q d a r aa m
अहसास 1.0	a h s aa s
खजानी 1.0	kh a j aa n ii
ज़ाहिर 1.0	z aa h i r
सश्रम 1.0	s a sh r a m
पर्यवेक्षण 1.0	p a r y a w ee k sx a nx
धर्माणी 1.0	dh a r m aa nx ii
पब्लिक 1.0	p a b l i k
यूपीआई 1.0	y uu p ii aa ii
एशियाटिक 1.0	ee sh i y aa tx i k
प्रेरणास्वरूप 1.0	p r ee r nx aa s w a r uu p
पाँचवी 1.0	p aa mq c a w ii
नन्दा 1.0	n a n d aa
मराठीबांग्लाकन्नड़मलयालमपंजाबीगुजराती 1.0	m a r aa txh ii b aa q g l aa k a n n a dxq m a l y aa l a m p a q j aa b ii g u j r aa t ii
पंजाबफैमिली 1.0	p a q j aa b ph ei m i l ii
अवज्ञा 1.0	a w a j nj aa
मुख्यतया 1.0	m u kh y a t a y aa
नज़रिए 1.0	n a z r i ee
मुंबईमें 1.0	m u q b a ii m ee q
हेरफेर 1.0	h ee r ph ee r
आयु 1.0	aa y u
पीट्सबर्ग 1.0	p ii tx s a b a r g
मैम 1.0	m ei m
टुटुल 1.0	tx u tx u l
रजनीगंधा 1.0	r a j n ii g a q dh aa
उत्कीर्ण 1.0	u t k ii r nx
